"Protocol" "Study" "CellType"
"D74_24" "CELseq" "GSE81076" "Ductal"
"D74_25" "CELseq" "GSE81076" "Delta"
"D74_26" "CELseq" "GSE81076" "Acinar"
"D74_27" "CELseq" "GSE81076" "Ductal"
"D74_28" "CELseq" "GSE81076" "Ductal"
"D74_29" "CELseq" "GSE81076" "Alpha"
"D74_31" "CELseq" "GSE81076" "Ductal"
"D74_32" "CELseq" "GSE81076" "Alpha"
"D74_33" "CELseq" "GSE81076" "Beta"
"D74_34" "CELseq" "GSE81076" "Ductal"
"D74_35" "CELseq" "GSE81076" "Beta"
"D74_36" "CELseq" "GSE81076" "Beta"
"D74_37" "CELseq" "GSE81076" "Ductal"
"D74_39" "CELseq" "GSE81076" "Ductal"
"D74_40" "CELseq" "GSE81076" "Delta"
"D74_41" "CELseq" "GSE81076" "Alpha"
"D74_42" "CELseq" "GSE81076" "Alpha"
"D74_43" "CELseq" "GSE81076" "Ductal"
"D74_44" "CELseq" "GSE81076" "other"
"D74_45" "CELseq" "GSE81076" "other"
"D74_46" "CELseq" "GSE81076" "Ductal"
"D74_47" "CELseq" "GSE81076" "Ductal"
"D74_49" "CELseq" "GSE81076" "Beta"
"D74_51" "CELseq" "GSE81076" "Beta"
"D74_52" "CELseq" "GSE81076" "Alpha"
"D74_53" "CELseq" "GSE81076" "Beta"
"D74_54" "CELseq" "GSE81076" "Ductal"
"D74_55" "CELseq" "GSE81076" "Alpha"
"D74_56" "CELseq" "GSE81076" "Alpha"
"D74_57" "CELseq" "GSE81076" "Alpha"
"D74_58" "CELseq" "GSE81076" "Ductal"
"D74_59" "CELseq" "GSE81076" "Delta"
"D74_60" "CELseq" "GSE81076" "Ductal"
"D74_61" "CELseq" "GSE81076" "Beta"
"D74_62" "CELseq" "GSE81076" "Acinar"
"D74_63" "CELseq" "GSE81076" "Ductal"
"D74_64" "CELseq" "GSE81076" "Delta"
"D74_65" "CELseq" "GSE81076" "Beta"
"D74_66" "CELseq" "GSE81076" "Delta"
"D74_67" "CELseq" "GSE81076" "Alpha"
"D74_68" "CELseq" "GSE81076" "Alpha"
"D74_69" "CELseq" "GSE81076" "Acinar"
"D74_70" "CELseq" "GSE81076" "Alpha"
"D74_71" "CELseq" "GSE81076" "Ductal"
"D74_74" "CELseq" "GSE81076" "Ductal"
"D74_75" "CELseq" "GSE81076" "Alpha"
"D74_76" "CELseq" "GSE81076" "Acinar"
"D74_77" "CELseq" "GSE81076" "Beta"
"D74_78" "CELseq" "GSE81076" "Ductal"
"D74_79" "CELseq" "GSE81076" "Ductal"
"D74_81" "CELseq" "GSE81076" "Acinar"
"D74_82" "CELseq" "GSE81076" "Beta"
"D74_83" "CELseq" "GSE81076" "Beta"
"D74_85" "CELseq" "GSE81076" "Alpha"
"D74_86" "CELseq" "GSE81076" "Beta"
"D74_87" "CELseq" "GSE81076" "Alpha"
"D74_88" "CELseq" "GSE81076" "Alpha"
"D74_90" "CELseq" "GSE81076" "Acinar"
"D74_91" "CELseq" "GSE81076" "Ductal"
"D74_92" "CELseq" "GSE81076" "Beta"
"D74_93" "CELseq" "GSE81076" "Ductal"
"D74_94" "CELseq" "GSE81076" "Acinar"
"D74_95" "CELseq" "GSE81076" "Alpha"
"D71_2" "CELseq" "GSE81076" "Acinar"
"D71_3" "CELseq" "GSE81076" "Alpha"
"D71_4" "CELseq" "GSE81076" "Beta"
"D71_5" "CELseq" "GSE81076" "Acinar"
"D71_6" "CELseq" "GSE81076" "Ductal"
"D71_9" "CELseq" "GSE81076" "Beta"
"D71_10" "CELseq" "GSE81076" "Acinar"
"D71_12" "CELseq" "GSE81076" "Ductal"
"D71_14" "CELseq" "GSE81076" "Ductal"
"D71_15" "CELseq" "GSE81076" "Beta"
"D71_16" "CELseq" "GSE81076" "Acinar"
"D71_18" "CELseq" "GSE81076" "Ductal"
"D71_19" "CELseq" "GSE81076" "Beta"
"D71_20" "CELseq" "GSE81076" "Alpha"
"D71_21" "CELseq" "GSE81076" "Beta"
"D71_22" "CELseq" "GSE81076" "other"
"D71_23" "CELseq" "GSE81076" "Ductal"
"D71_26" "CELseq" "GSE81076" "Beta"
"D71_27" "CELseq" "GSE81076" "Ductal"
"D71_28" "CELseq" "GSE81076" "Ductal"
"D71_29" "CELseq" "GSE81076" "Beta"
"D71_30" "CELseq" "GSE81076" "Beta"
"D71_31" "CELseq" "GSE81076" "Ductal"
"D71_32" "CELseq" "GSE81076" "Delta"
"D71_33" "CELseq" "GSE81076" "Ductal"
"D71_34" "CELseq" "GSE81076" "Acinar"
"D71_35" "CELseq" "GSE81076" "Delta"
"D71_36" "CELseq" "GSE81076" "Beta"
"D71_37" "CELseq" "GSE81076" "Alpha"
"D71_38" "CELseq" "GSE81076" "Beta"
"D71_39" "CELseq" "GSE81076" "Acinar"
"D71_40" "CELseq" "GSE81076" "Alpha"
"D71_41" "CELseq" "GSE81076" "Ductal"
"D71_42" "CELseq" "GSE81076" "Beta"
"D71_43" "CELseq" "GSE81076" "Alpha"
"D71_44" "CELseq" "GSE81076" "Ductal"
"D71_45" "CELseq" "GSE81076" "Ductal"
"D71_48" "CELseq" "GSE81076" "Delta"
"D71_49" "CELseq" "GSE81076" "Beta"
"D71_51" "CELseq" "GSE81076" "Beta"
"D71_52" "CELseq" "GSE81076" "Ductal"
"D71_53" "CELseq" "GSE81076" "Acinar"
"D71_54" "CELseq" "GSE81076" "Beta"
"D71_55" "CELseq" "GSE81076" "Beta"
"D71_56" "CELseq" "GSE81076" "Ductal"
"D71_57" "CELseq" "GSE81076" "Beta"
"D71_58" "CELseq" "GSE81076" "other"
"D71_59" "CELseq" "GSE81076" "Delta"
"D71_61" "CELseq" "GSE81076" "Beta"
"D71_62" "CELseq" "GSE81076" "Beta"
"D71_63" "CELseq" "GSE81076" "Beta"
"D71_64" "CELseq" "GSE81076" "Ductal"
"D71_65" "CELseq" "GSE81076" "Ductal"
"D71_66" "CELseq" "GSE81076" "Ductal"
"D71_67" "CELseq" "GSE81076" "Ductal"
"D71_68" "CELseq" "GSE81076" "other"
"D71_69" "CELseq" "GSE81076" "Ductal"
"D71_70" "CELseq" "GSE81076" "Ductal"
"D71_71" "CELseq" "GSE81076" "Ductal"
"D71_72" "CELseq" "GSE81076" "Acinar"
"D71_73" "CELseq" "GSE81076" "Ductal"
"D71_75" "CELseq" "GSE81076" "Ductal"
"D71_76" "CELseq" "GSE81076" "Alpha"
"D71_78" "CELseq" "GSE81076" "Acinar"
"D71_79" "CELseq" "GSE81076" "Delta"
"D71_80" "CELseq" "GSE81076" "Acinar"
"D71_81" "CELseq" "GSE81076" "Ductal"
"D71_82" "CELseq" "GSE81076" "Beta"
"D71_83" "CELseq" "GSE81076" "Beta"
"D71_84" "CELseq" "GSE81076" "Beta"
"D71_85" "CELseq" "GSE81076" "Ductal"
"D71_86" "CELseq" "GSE81076" "Beta"
"D71_87" "CELseq" "GSE81076" "Delta"
"D71_91" "CELseq" "GSE81076" "Delta"
"D71_92" "CELseq" "GSE81076" "Acinar"
"D71_93" "CELseq" "GSE81076" "Alpha"
"D71_94" "CELseq" "GSE81076" "Delta"
"D71_95" "CELseq" "GSE81076" "Ductal"
"D72_1" "CELseq" "GSE81076" "Acinar"
"D72_2" "CELseq" "GSE81076" "Beta"
"D72_4" "CELseq" "GSE81076" "Ductal"
"D72_8" "CELseq" "GSE81076" "Alpha"
"D72_10" "CELseq" "GSE81076" "Alpha"
"D72_18" "CELseq" "GSE81076" "Acinar"
"D72_22" "CELseq" "GSE81076" "Acinar"
"D72_23" "CELseq" "GSE81076" "Ductal"
"D72_25" "CELseq" "GSE81076" "other"
"D72_31" "CELseq" "GSE81076" "Ductal"
"D72_32" "CELseq" "GSE81076" "Ductal"
"D72_33" "CELseq" "GSE81076" "Acinar"
"D72_34" "CELseq" "GSE81076" "Ductal"
"D72_37" "CELseq" "GSE81076" "Ductal"
"D72_39" "CELseq" "GSE81076" "Alpha"
"D72_40" "CELseq" "GSE81076" "Acinar"
"D72_41" "CELseq" "GSE81076" "Beta"
"D72_42" "CELseq" "GSE81076" "Beta"
"D72_43" "CELseq" "GSE81076" "Ductal"
"D72_47" "CELseq" "GSE81076" "Alpha"
"D72_49" "CELseq" "GSE81076" "Ductal"
"D72_52" "CELseq" "GSE81076" "Ductal"
"D72_53" "CELseq" "GSE81076" "Ductal"
"D72_54" "CELseq" "GSE81076" "Alpha"
"D72_55" "CELseq" "GSE81076" "Beta"
"D72_61" "CELseq" "GSE81076" "Ductal"
"D72_65" "CELseq" "GSE81076" "Ductal"
"D72_66" "CELseq" "GSE81076" "Ductal"
"D72_67" "CELseq" "GSE81076" "Alpha"
"D72_68" "CELseq" "GSE81076" "Ductal"
"D72_69" "CELseq" "GSE81076" "Delta"
"D72_71" "CELseq" "GSE81076" "Delta"
"D72_72" "CELseq" "GSE81076" "Ductal"
"D72_75" "CELseq" "GSE81076" "Delta"
"D72_76" "CELseq" "GSE81076" "Ductal"
"D72_77" "CELseq" "GSE81076" "Alpha"
"D72_78" "CELseq" "GSE81076" "Delta"
"D72_79" "CELseq" "GSE81076" "Alpha"
"D72_81" "CELseq" "GSE81076" "Beta"
"D72_82" "CELseq" "GSE81076" "Ductal"
"D72_84" "CELseq" "GSE81076" "Beta"
"D72_85" "CELseq" "GSE81076" "Alpha"
"D72_86" "CELseq" "GSE81076" "Ductal"
"D72_88" "CELseq" "GSE81076" "Alpha"
"D72_91" "CELseq" "GSE81076" "Alpha"
"D72_92" "CELseq" "GSE81076" "Alpha"
"D72_93" "CELseq" "GSE81076" "Ductal"
"D72_95" "CELseq" "GSE81076" "Acinar"
"D72_96" "CELseq" "GSE81076" "Beta"
"D73_1" "CELseq" "GSE81076" "Alpha"
"D73_2" "CELseq" "GSE81076" "Ductal"
"D73_3" "CELseq" "GSE81076" "Alpha"
"D73_4" "CELseq" "GSE81076" "Beta"
"D73_5" "CELseq" "GSE81076" "Ductal"
"D73_6" "CELseq" "GSE81076" "Alpha"
"D73_7" "CELseq" "GSE81076" "Alpha"
"D73_8" "CELseq" "GSE81076" "Ductal"
"D73_9" "CELseq" "GSE81076" "Beta"
"D73_10" "CELseq" "GSE81076" "Alpha"
"D73_11" "CELseq" "GSE81076" "Acinar"
"D73_12" "CELseq" "GSE81076" "Beta"
"D73_14" "CELseq" "GSE81076" "Alpha"
"D73_16" "CELseq" "GSE81076" "other"
"D73_17" "CELseq" "GSE81076" "Alpha"
"D73_18" "CELseq" "GSE81076" "Ductal"
"D73_19" "CELseq" "GSE81076" "Ductal"
"D73_20" "CELseq" "GSE81076" "Gamma"
"D73_21" "CELseq" "GSE81076" "Beta"
"D73_22" "CELseq" "GSE81076" "Beta"
"D73_23" "CELseq" "GSE81076" "Ductal"
"D73_24" "CELseq" "GSE81076" "Ductal"
"D73_25" "CELseq" "GSE81076" "Ductal"
"D73_26" "CELseq" "GSE81076" "Acinar"
"D73_27" "CELseq" "GSE81076" "Ductal"
"D73_28" "CELseq" "GSE81076" "Beta"
"D73_29" "CELseq" "GSE81076" "Ductal"
"D73_30" "CELseq" "GSE81076" "Delta"
"D73_31" "CELseq" "GSE81076" "Alpha"
"D73_32" "CELseq" "GSE81076" "Alpha"
"D73_33" "CELseq" "GSE81076" "Alpha"
"D73_34" "CELseq" "GSE81076" "Ductal"
"D73_35" "CELseq" "GSE81076" "Acinar"
"D73_36" "CELseq" "GSE81076" "Alpha"
"D73_37" "CELseq" "GSE81076" "Acinar"
"D73_38" "CELseq" "GSE81076" "Delta"
"D73_39" "CELseq" "GSE81076" "other"
"D73_40" "CELseq" "GSE81076" "Ductal"
"D73_41" "CELseq" "GSE81076" "Alpha"
"D73_42" "CELseq" "GSE81076" "Beta"
"D73_43" "CELseq" "GSE81076" "Acinar"
"D73_44" "CELseq" "GSE81076" "Beta"
"D73_45" "CELseq" "GSE81076" "Beta"
"D73_46" "CELseq" "GSE81076" "Ductal"
"D73_48" "CELseq" "GSE81076" "Acinar"
"D73_49" "CELseq" "GSE81076" "Ductal"
"D73_50" "CELseq" "GSE81076" "Ductal"
"D73_51" "CELseq" "GSE81076" "Ductal"
"D73_52" "CELseq" "GSE81076" "Acinar"
"D73_54" "CELseq" "GSE81076" "Ductal"
"D73_55" "CELseq" "GSE81076" "Beta"
"D73_57" "CELseq" "GSE81076" "Ductal"
"D73_58" "CELseq" "GSE81076" "Alpha"
"D73_59" "CELseq" "GSE81076" "Alpha"
"D73_60" "CELseq" "GSE81076" "Ductal"
"D73_61" "CELseq" "GSE81076" "Beta"
"D73_62" "CELseq" "GSE81076" "Beta"
"D73_63" "CELseq" "GSE81076" "Ductal"
"D73_64" "CELseq" "GSE81076" "Ductal"
"D73_65" "CELseq" "GSE81076" "Ductal"
"D73_67" "CELseq" "GSE81076" "Beta"
"D73_68" "CELseq" "GSE81076" "Acinar"
"D73_69" "CELseq" "GSE81076" "Alpha"
"D73_70" "CELseq" "GSE81076" "Ductal"
"D73_71" "CELseq" "GSE81076" "Ductal"
"D73_72" "CELseq" "GSE81076" "Beta"
"D73_73" "CELseq" "GSE81076" "Ductal"
"D73_76" "CELseq" "GSE81076" "Beta"
"D73_78" "CELseq" "GSE81076" "Ductal"
"D73_79" "CELseq" "GSE81076" "Alpha"
"D73_81" "CELseq" "GSE81076" "Alpha"
"D73_82" "CELseq" "GSE81076" "Delta"
"D73_83" "CELseq" "GSE81076" "Acinar"
"D73_84" "CELseq" "GSE81076" "Ductal"
"D73_85" "CELseq" "GSE81076" "Beta"
"D73_86" "CELseq" "GSE81076" "Delta"
"D73_87" "CELseq" "GSE81076" "Beta"
"D73_89" "CELseq" "GSE81076" "Ductal"
"D73_90" "CELseq" "GSE81076" "Delta"
"D73_91" "CELseq" "GSE81076" "Beta"
"D73_92" "CELseq" "GSE81076" "Beta"
"D73_96" "CELseq" "GSE81076" "Ductal"
"D10631_2" "CELseq" "GSE81076" "Ductal"
"D10631_3" "CELseq" "GSE81076" "Ductal"
"D10631_10" "CELseq" "GSE81076" "Acinar"
"D10631_15" "CELseq" "GSE81076" "Acinar"
"D10631_17" "CELseq" "GSE81076" "Acinar"
"D10631_24" "CELseq" "GSE81076" "Ductal"
"D10631_29" "CELseq" "GSE81076" "Acinar"
"D10631_38" "CELseq" "GSE81076" "Acinar"
"D10631_45" "CELseq" "GSE81076" "Ductal"
"D10631_48" "CELseq" "GSE81076" "Acinar"
"D10631_50" "CELseq" "GSE81076" "Acinar"
"D10631_53" "CELseq" "GSE81076" "Acinar"
"D10631_54" "CELseq" "GSE81076" "Acinar"
"D10631_56" "CELseq" "GSE81076" "Ductal"
"D10631_57" "CELseq" "GSE81076" "Acinar"
"D10631_61" "CELseq" "GSE81076" "Alpha"
"D10631_63" "CELseq" "GSE81076" "Ductal"
"D10631_65" "CELseq" "GSE81076" "Ductal"
"D10631_66" "CELseq" "GSE81076" "Acinar"
"D10631_67" "CELseq" "GSE81076" "Acinar"
"D10631_68" "CELseq" "GSE81076" "Ductal"
"D10631_69" "CELseq" "GSE81076" "Acinar"
"D10631_70" "CELseq" "GSE81076" "other"
"D10631_76" "CELseq" "GSE81076" "Ductal"
"D10631_85" "CELseq" "GSE81076" "Ductal"
"D10631_88" "CELseq" "GSE81076" "Ductal"
"D10631_90" "CELseq" "GSE81076" "Ductal"
"D10631_91" "CELseq" "GSE81076" "Acinar"
"D10631_92" "CELseq" "GSE81076" "Ductal"
"D10631_95" "CELseq" "GSE81076" "Acinar"
"D10631_96" "CELseq" "GSE81076" "Acinar"
